City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,tirmitine,36.6539,3.9814,8.72,94,22,0.47,DZ,1708302040
162,niafunke,15.9322,-3.9906,23.9,11,0,5.5,ML,1708302042
163,ampanihy,-24.7,44.75,21.15,88,19,4.94,MG,1708301838
164,nadvoitsy,63.8667,34.3167,-10.95,86,17,3.9,RU,1708302044
165,korba,22.35,82.6833,19.24,48,2,0.37,IN,1708302045
166,les avirons,-21.2418,55.3394,23.05,73,20,5.14,RE,1708302046
167,colonia,50.9333,6.95,9.98,87,75,7.2,DE,1708302047
168,carira,-10.3608,-37.7011,25.27,78,93,3.45,BR,1708302048
169,laguna,38.421,-121.4238,20.59,57,75,11.83,US,1708302042
170,padampur,29.6833,73.6167,18.1,36,23,4.72,IN,1708302050
171,bembibre,42.6177,-6.4155,14.11,97,58,0.45,ES,1708302051
172,gainsborough,53.3833,-0.7667,11.51,94,20,3.71,GB,1708302052
173,miyaly,48.8844,53.7836,-14.18,83,33,4.17,KZ,1708302053
174,haiku-pauwela,20.9219,-156.3051,23.98,63,40,8.75,US,1708302054
175,warrnambool,-38.3833,142.4833,20.52,57,11,4.72,AU,1708302055
176,sabang,5.8933,95.3214,28.13,70,85,6.42,ID,1708302056
177,balaghat,21.8,80.1833,20.32,43,19,1.42,IN,1708302057
178,kununurra,-15.7667,128.7333,29.99,74,100,3.6,AU,1708302057
179,isafjordur,66.0755,-23.124,3.47,86,99,1.05,IS,1708302058
180,udachny,66.4167,112.4,-20.39,97,100,7.11,RU,1708302059
181,acajutla,13.5928,-89.8275,28.19,70,31,4.38,SV,1708302060
182,arboga,59.3939,15.8388,1.19,98,100,3.67,SE,1708302061
183,saint-philippe,-21.3585,55.7679,24.77,82,100,6.96,RE,1708302062
184,pacific grove,36.6177,-121.9166,17.82,81,49,4.02,US,1708302063
185,mount gambier,-37.8333,140.7667,21.68,49,13,2.9,AU,1708302064
186,spanish fort,30.6749,-87.9153,10.48,51,40,3.09,US,1708302066
187,avarua,-21.2078,-159.775,28.03,65,40,6.17,CK,1708302067
188,caxias,38.7031,-9.2767,14.71,85,0,4.47,PT,1708302068
189,nykobing sjaelland,55.9249,11.6711,5.18,95,100,3.77,DK,1708302069
190,kill devil hills,36.0307,-75.676,6.66,60,0,4.12,US,1708302070
191,kenai,60.5544,-151.2583,4.05,80,100,4.63,US,1708302071
192,divnomorskoye,44.5011,38.1353,5.66,73,100,1.24,RU,1708302072
193,brookings,44.3114,-96.7984,0.0,64,0,0.0,US,1708302073
194,iquique,-20.2208,-70.1431,24.02,79,100,1.65,CL,1708301978
195,abepura,-2.6333,140.5833,28.45,79,20,1.03,ID,1708302075
196,vernon,50.2581,-119.2691,4.23,61,42,0.51,CA,1708302076
197,kluang,2.0251,103.3328,24.38,93,97,1.14,MY,1708302078
198,sarangani,5.4033,125.4636,26.87,72,7,1.86,PH,1708302079
199,cill airne,52.05,-9.5167,10.74,94,99,5.22,IE,1708302080
200,sao desiderio,-12.3633,-44.9733,23.09,84,57,1.3,BR,1708302081
201,labrador city,52.9463,-66.9114,-19.9,61,75,3.6,CA,1708302082
202,zapala,-38.8992,-70.0544,25.66,25,5,4.42,AR,1708302083
203,banda aceh,5.5577,95.3222,28.16,73,93,7.99,ID,1708302084
204,melfort,52.8667,-104.6177,-7.93,67,90,4.12,CA,1708301905
205,kulhudhuffushi,6.6221,73.07,27.71,76,87,2.87,MV,1708302086
206,masterton,-40.9597,175.6575,22.28,91,100,8.83,NZ,1708302087
207,kokopo,-4.352,152.2633,27.97,77,74,4.43,PG,1708302088
208,nytva,57.9404,55.334,-9.06,92,100,6.71,RU,1708302089
209,ancud,-41.8697,-73.8203,15.04,79,73,4.69,CL,1708302090
210,samarinda,-0.5,117.15,26.49,83,58,1.74,ID,1708302091
211,yamada,39.4667,141.95,12.48,76,86,4.52,JP,1708302092
212,constitucion,-35.3333,-72.4167,14.96,81,6,2.87,CL,1708302093
213,san pedro,14.35,121.0167,27.97,74,36,4.92,PH,1708302094
214,edinboro,41.8742,-80.1317,-0.85,72,99,6.54,US,1708302095
215,vila velha,-20.3297,-40.2925,26.64,92,75,0.45,BR,1708302096
216,shentala,54.45,51.4833,-8.98,85,100,9.58,RU,1708302097
217,florence,43.7667,11.25,11.49,90,0,1.54,IT,1708302098
218,sinop,41.7711,34.8709,2.34,97,100,1.64,TR,1708302083
219,aasiaat,68.7098,-52.8699,-16.21,96,93,3.54,GL,1708302100
220,amahai,-3.3333,128.9167,28.51,73,92,2.0,ID,1708302101
221,new norfolk,-42.7826,147.0587,17.73,54,100,0.51,AU,1708302102
222,kailua-kona,19.6406,-155.9956,26.39,74,75,5.66,US,1708302103
223,albu kamal,34.45,40.9186,12.17,66,8,0.8,SY,1708302105
224,bamboo flat,11.7,92.7167,26.05,69,100,1.54,IN,1708302106
225,shingu,33.7333,135.9833,15.21,97,90,1.23,JP,1708302107
226,newman,37.3138,-121.0208,20.16,70,34,4.47,US,1708302108
227,porto novo,6.4965,2.6036,28.9,80,3,3.28,BJ,1708302109
228,lebu,-37.6167,-73.65,14.46,82,0,9.26,CL,1708302110
229,kirensk,57.7853,108.1119,-31.13,99,100,1.79,RU,1708302111
230,al mutayrifi,25.4788,49.5576,13.19,51,1,3.03,SA,1708302113
231,east london,-33.0153,27.9116,19.86,92,60,2.96,ZA,1708302114
232,manokwari,-0.8667,134.0833,26.48,85,100,2.77,ID,1708302116
233,annaba,36.9,7.7667,11.98,94,75,1.54,DZ,1708302118
234,talnakh,69.4865,88.3972,-21.0,91,100,7.55,RU,1708302120
235,dadukou,26.5479,101.7054,8.79,62,0,0.82,CN,1708302121
236,antsiranana,-12.2787,49.2917,26.55,87,100,3.82,MG,1708302122
237,levuka,50.1834,-105.4011,-5.16,90,100,2.8,CA,1708302123
238,nemuro,43.3236,145.575,2.57,85,52,8.84,JP,1708302124
239,posto fiscal rolim de moura,-13.0833,-62.2667,27.89,77,99,2.57,BR,1708302108
240,crane,31.3974,-102.3501,13.18,29,23,4.76,US,1708302127
241,ras el aioun,35.6738,5.6453,8.88,86,3,2.0,DZ,1708302128
242,mosjoen,65.836,13.1908,-6.71,93,100,0.0,NO,1708302129
243,victoria point,-27.5833,153.3,30.04,71,34,1.79,AU,1708302130
244,wynyard,-41.0,145.7167,23.33,46,3,1.55,AU,1708302131
245,rongelap,11.1635,166.8941,26.5,79,100,5.98,MH,1708302132
246,sakakah,29.9697,40.2064,9.76,56,2,1.3,SA,1708302133
247,floresta,-8.6011,-38.5686,26.52,76,61,4.28,BR,1708302135
248,taihecun,45.8,130.85,-8.86,93,100,6.08,CN,1708302079
249,val-d'or,48.1002,-77.7828,-11.95,85,100,4.12,CA,1708302043
250,huarmey,-10.0681,-78.1522,25.26,76,65,3.33,PE,1708302139
251,kishtwar,33.3167,75.7667,4.57,99,100,1.82,IN,1708302141
252,olonets,60.9847,32.9698,-16.04,100,46,1.7,RU,1708302142
253,tari,12.4086,4.4914,24.78,13,98,4.5,NG,1708302143
254,callao,-12.0667,-77.15,25.16,69,0,6.69,PE,1708302145
255,solleftea,63.1667,17.2667,-6.08,98,99,1.05,SE,1708302146
256,forster,-32.1667,152.5167,25.77,85,94,1.5,AU,1708302148
257,karpinsk,59.7654,60.0085,-15.46,94,57,3.45,RU,1708302149
258,carinhanha,-14.3047,-43.765,22.7,92,95,0.69,BR,1708302150
259,tukzar,35.9483,66.4213,-3.1,97,100,2.36,AF,1708302151
260,brisas de zicatela,15.8369,-97.0419,28.29,69,20,1.54,MX,1708302152
261,sao jose da coroa grande,-8.8978,-35.1478,26.65,88,100,1.95,BR,1708302153
262,caleta de carquin,-11.0925,-77.6267,24.79,80,98,3.93,PE,1708302155
263,cape coast,5.1053,-1.2466,27.37,88,83,4.1,GH,1708302156
264,chui,-33.6971,-53.4616,22.57,95,50,4.91,UY,1708302157
265,mantenopolis,-18.8625,-41.1228,22.21,94,100,1.04,BR,1708302158
266,longyearbyen,78.2186,15.6401,-12.09,61,40,8.23,SJ,1708302159
267,ifrane,33.3333,-5.25,5.16,70,2,4.47,MA,1708302160
268,villa emilio carranza,19.9667,-96.6,16.38,81,98,3.42,MX,1708302161
269,rabaul,-4.1967,152.1721,28.7,76,67,7.23,PG,1708302162
270,guerrero negro,27.9769,-114.0611,16.98,66,38,7.41,MX,1708302163
271,greymouth,-42.4667,171.2,16.53,89,93,8.31,NZ,1708302164
272,buka,40.8108,69.1986,-1.99,97,100,1.72,UZ,1708302165
273,kirakira,-10.4544,161.9205,29.4,79,42,3.25,SB,1708302166
274,koidu,8.4167,-10.8333,24.54,88,53,0.83,SL,1708302167
275,grants,35.1473,-107.8514,12.13,22,75,7.72,US,1708302168
276,lerwick,60.1545,-1.1494,8.0,88,85,6.24,GB,1708302169
277,kholmsk,47.0511,142.0569,2.91,97,100,6.33,RU,1708302170
278,merizo village,13.2658,144.6691,28.31,81,26,7.42,GU,1708302172
279,new plymouth,-39.0667,174.0833,22.12,86,11,5.92,NZ,1708302173
280,maintirano,-18.0667,44.0167,25.93,89,86,2.92,MG,1708302174
281,tomatlan,19.9333,-105.25,28.48,41,0,3.55,MX,1708302175
282,chonchi,-42.6128,-73.8092,17.4,65,76,2.24,CL,1708302176
283,bathsheba,13.2167,-59.5167,27.34,78,20,8.75,BB,1708302177
284,portland,45.5234,-122.6762,11.49,78,75,4.12,US,1708301705
285,georgetown,5.4112,100.3354,28.3,90,20,2.06,MY,1708302178
286,kudat,6.8837,116.8477,26.96,89,40,1.03,MY,1708302179
287,hithadhoo,-0.6,73.0833,28.53,78,98,6.42,MV,1708302180
288,kudahuvadhoo,2.6708,72.8944,27.91,82,91,5.14,MV,1708302181
289,nishinoomote,30.7333,131.0,20.31,94,75,4.63,JP,1708302182
290,selkirk,50.1436,-96.8845,-7.96,91,68,2.39,CA,1708302183
291,hamilton,39.1834,-84.5333,4.35,49,0,3.09,US,1708301726
292,wawa,9.9022,4.4192,29.19,17,23,1.86,NG,1708302185
293,kristiansund,63.1115,7.732,-0.64,64,40,2.06,NO,1708302186
294,villanueva de cordoba,38.3228,-4.6287,6.95,82,54,0.83,ES,1708302187
295,farafenni,13.5667,-15.6,27.6,34,13,3.68,GM,1708302188
296,reggane,26.7158,0.1714,17.72,35,26,6.45,DZ,1708302189
297,sovetskaya gavan',48.9723,140.2878,-11.05,91,100,4.3,RU,1708302190
298,susuman,62.7833,148.1667,-32.79,93,100,0.89,RU,1708302191
299,anadyr,64.75,177.4833,-9.72,73,20,22.0,RU,1708302192
300,sibu,2.3,111.8167,25.17,94,40,1.54,MY,1708302193
301,taoudenni,22.6783,-3.9836,19.27,33,0,6.95,ML,1708302195
302,cherlak,54.155,74.8055,-35.57,100,67,0.56,RU,1708302197
303,samus',56.7475,84.6992,-37.04,100,98,0.79,RU,1708302198
304,viitasaari,63.0667,25.8667,-5.9,85,94,3.63,FI,1708302199
305,creel,27.75,-107.6333,13.69,22,15,5.92,MX,1708302200
306,kogalym,62.2654,74.4791,-22.35,86,100,9.83,RU,1708302202
307,dawei,14.0833,98.2,21.53,71,94,1.16,MM,1708302203
308,tropea,38.6754,15.8948,11.61,75,5,2.1,IT,1708302204
309,hadibu,12.65,54.0333,24.56,59,18,3.93,YE,1708302205
310,vredendal,-31.6683,18.5012,20.38,38,2,0.9,ZA,1708302206
311,korla,41.7597,86.1469,-6.99,51,87,1.26,CN,1708302207
312,riosucio,5.4216,-75.7032,18.89,92,89,0.92,CO,1708302208
313,nyurba,63.2842,118.3319,-27.22,96,100,3.28,RU,1708302211
314,viedma,-40.8135,-62.9967,19.83,48,61,6.73,AR,1708302212
315,brezina,33.0989,1.2608,11.34,56,26,3.06,DZ,1708302213
316,bubaque,11.2833,-15.8333,26.24,77,4,6.98,GW,1708302214
317,carrigaline,51.8117,-8.3986,10.86,93,75,5.14,IE,1708302215
318,waspan,14.7419,-83.9717,27.0,72,75,4.25,NI,1708302216
319,fale old settlement,-9.3852,-171.2468,28.94,81,88,6.52,TK,1708302217
320,la palma,33.8464,-118.0467,19.78,68,75,4.12,US,1708302217
321,boa vista,2.8197,-60.6733,30.99,45,0,4.12,BR,1708302218
322,karwar,14.8,74.1333,22.94,74,77,2.5,IN,1708302220
323,makoua,0.0069,15.6333,25.95,68,100,1.62,CG,1708302221
324,san antonio de pale,-1.4014,5.6325,28.74,75,79,1.66,GQ,1708302222
325,umba,66.6871,34.3429,-11.71,93,89,3.85,RU,1708302222
326,debark',13.1561,37.8981,11.94,51,5,0.89,ET,1708302223
327,goldsboro,35.3849,-77.9928,4.95,48,0,1.54,US,1708302225
328,najran,17.4924,44.1277,16.36,59,53,1.4,SA,1708302227
329,bullhead city,35.1478,-114.5683,24.92,25,0,3.6,US,1708302228
330,port elizabeth,-33.918,25.5701,20.73,90,20,6.17,ZA,1708302229
331,puerto madero,14.7208,-92.4215,28.11,74,75,0.0,MX,1708302230
332,naval,11.5606,124.3975,25.6,77,97,7.89,PH,1708302232
333,sibolga,1.7427,98.7792,25.19,89,100,1.91,ID,1708302233
334,baikonur,45.6167,63.3167,-10.56,38,100,8.99,KZ,1708302234
335,gurupi,-11.7292,-49.0686,24.87,86,98,1.12,BR,1708302235
336,altamira,-3.2033,-52.2064,23.94,98,100,1.29,BR,1708302237
337,tual,-5.6667,132.75,28.6,76,97,3.64,ID,1708302238
338,debeljaca,45.0711,20.6,5.69,76,9,1.64,RS,1708302239
